City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Gwangyang,Korea,Latam,FMS-Logistics,VIPA BDuong,VIPA GREECE,KLB,Plastic,
Haarlem,Holland,Asia,Corcel LTD,VIPA CHINA,VIPA CHINA,LDPE crushed,Plastic,
Haifa,Israel,Europe,Badis,VIPA GERMANY,VIPA SWITZERLAND,LDPE cans,Plastic,
Haiphong,Vietnam,Europe,Trans A,VIPA GWN,VIPA GWN,LDPE crushed vials,,
Haldia,India,Asia,Novomarine,VIPA HAZ,VIPA HAZ,none,,
Halmstad,Sweden,Asia,Baltika Trans,VIPA HCM,VIPA HCM,,,
Halmstad,Sweden,Europe,Nordic Spedition,VIPA HP,VIPA HP,,,
Hamburg,Germany,Europe,Skona,VIPA IND,VIPA INDIA,,,
Hamburg,Germany,Europe,Panalpina,VIPA IT,VIPA ITALY,,,
Hamburg,Germany,Europe,Locmex,VIPA LKR,VIPA LKR,,,
Hameenlinna,Finland,Europe,Overseas Freight (EMC RU),VIPA MUN,VIPA MUN,,,
Hasselroth,Germany,Europe,Marshall,VIPA NL,VIPA ROTTERDAM,,,
Hazira,India,Europe,GTS,VIPA PK,VIPA PK,,,
Heimdal,Norway,Asia,TOL,VIPA TH,VIPA TH,,,
Helsinborg,Sweden,Europe,FMS USA,VIPA TW,VIPA TW,,,
Helsinborg,Sweden,Europe,Panama Recycling,VIPA UK,VIPA UK,,,
Helsinborg,Sweden,Europe,ZIM USA,VIPA VN,VIPA VN,,,
Helsingor,Denmark,Europe,Arkas,VLT SIA,Edward Berjoza,,,
Helsinki,Finland,Europe,Perez y Cia,VtorResurs,Global Trading,,,
Helsinki,Finland,Europe,Maduro,Werrowool,Edward Berjoza,,,
Ho Chi Minh,Vietnam,Europe,Proherus,Zalais Cikls,Edward Berjoza,,,
Ho Chi Minh,Vietnam,Asia,Gileya,Zemgales Eko,Edward Berjoza,,,
Hong Kong,Hong Kong,Asia,Vlantana,Zhidachev PP,Ivan Dotsenko,,,
Hyltebruk,Sweden,Asia,Wan Hai,Bumresurs LLC,Global Trading,,,
Ipswich,UK,Europe,N/A,N/A,N/A,,,
Iskenderun,Turkey,Europe,Hileya,ORA,Nikolay Kudryashov,,,
Istanbul,Turkey,Europe,MAG,Silverton,VIPA INDIA,,,
Istanbul,Turkey,Europe,Transports24,Meenu,VIPA INDIA,,,
Itapoa,Brazil,Europe,TV Logistics,Sirko,Global Trading,,,
Izmail,Ukraine,Latam,Rohlig SUUS,SZMK,Global Trading,,,
Izmit,Turkey,Europe,BFI,CBM,VIPA ROTTERDAM,,,
Izmit,Turkey,Europe,IP Kazakevich,Mainetti,VIPA ITALY,,,
Izmit,Turkey,Europe,TV Logistic,YFY,VIPA GREECE,,,
Jakarta,Indonesia,Europe,GTN Guatemala,Jeonju,VIPA GREECE,,,
Jebel Ali,UAE,Asia,EUROPIIR LOGISTICS,Herlig SIA,Edward Berjoza,,,
Jeddah,Saudi Arabia,Asia,Yangming,Ekovir OÜ,Edward Berjoza,,,
Jelgava,Latvia,Asia,Miil OÜ,ArkhivServisRegion,Global Trading,,,
Jelgava,Latvia,Europe,TV Logistics,AvtoPrestizh,T&M,,,
Kaipola,Finland,Europe,MD-Logistics,T&M,VIPA USA,,,
Kaliningrad,Russia,Europe,Utransas,CBM,VIPA ROTTERDAM,,,
Kaohsiung,Taiwan,Russia,Seaboard Marine,IP Kuchko,Global Trading,,,
Kaohsiung,Taiwan,Asia,CTR,Khors,Global Trading,,,
Karachi,Pakistan,Asia,Marfret,Packmil,Global Trading,,,
Karhula,Finland,Asia,EULAG,Pakerin,VIPA GREECE,,,
Kassel,Germany,Europe,UKRINFORMTREID,LAMSON,VIPA GREECE,,,
Kattupalli,India,Europe,Sealand Liquids,Encore,Karolis Pupinis,,,
Kaunas,Lithuania,Asia,Metodo AS,MINH HUNG,VIPA GREECE,,,
Kaunas,Lithuania,Europe,MAG,MEPCO,VIPA INDIA,,,
Keelung,Taiwan,Europe,Galangal,Ching Mei,VIPA GREECE,,,
Kekava,Latvia,Asia,Vervo,Tipco,VIPA GREECE,,,
Kielce,Poland,Europe,Argo,Thai Hiep Hung,VIPA GREECE,,,
King Abdullah,Saudi Arabia,Europe,All Logistics A/S,Muc Son,VIPA GREECE,,,
Klaipeda,Lithuania,Asia,UAB ESLALIS,Marius Pedersen DK,Nikolay Kudryashov,,,
Klaipeda,Lithuania,Europe,ZAKLAD PRO,Foxx Recycling Poland,Łukasz Lutoborski,,,
Khlong Toei,Thailand,Europe,Dedal SP.,Sita UK,VIPA UK,,,
Kobe,Japan,Asia,K7 Logistic,Eastern Recycling,VIPA USA,,,
Koipola,Finland,Asia,LLC FOURPL,Fifth Discipline,VIPA GREECE,,,
Kolding,Denmark,Europe,Grabski Sp.,Modern Karton,VIPA GREECE,,,
Kolding,Denmark,Europe,ARGOS-AVTO,EuroVtorTrans,Global Trading,,,
Kommunar,Russia,Europe,SHAR TRANS,SELKASAN,VIPA GREECE,,,
Koronowo,Poland,Russia,SIMEX TRANSPORT,PAP-RECO,Łukasz Lutoborski,,,
Koronowo,Poland,Europe,M&C ECO PAPER,Krishna MO,VIPA GREECE,,,
Kostheim,Germany,Europe,ACL,Inpaecsa,Nikolay Kudryashov,,,
Kotka,Finland,Europe,Gyemant SRL,PratoLungo,VIPA ITALY,,,
Krasnodar,Russia,Europe,ZIM,JOP,N/A,,,
Krapkowice,Poland,Russia,Goznak,United,VIPA GREECE,,,
Krasnodar,Russia,Europe,Vervo,Potok-K,Global Trading,,,
Kristiansand,Norway,Russia,FABRYKA PA,Krona Rec,Global Trading,,,
Kristiansand,Norway,Europe,DFDS,Ecotrade PTZ,VIPA GREECE,,,
Kumport,Turkey,Europe,CCH,Stora Enso Poland,Łukasz Lutoborski,,,
Kuusankoski,Finland,Europe,BM Eurotrans,Vtorma,Global Trading,,,
Kuvshinovo,Russia,Europe,Sea Connect,Sredereja SIA,Edward Berjoza,,,
Gwangyang,Korea,Russia,Eagle Trans,OÜ Vanapaber,Edward Berjoza,,,
La Spezia,Italy,Asia,Trans KEY,SIAM,VIPA GREECE,,,
Laem Chabang,Thailand,Europe,UNIBOARD,IP Urosov,Global Trading,,,
Lahti,Finland,Asia,CHERKASSYVT,IP Vorobyev,Global Trading,,,
Larvik,Norway,Europe,,Vladkarton,Global Trading,,,
Larvik,Norway,Europe,,MD Investment,Ivan Dotsenko,,,
Lat Krabang,Thailand,Europe,,Kartontol,Global Trading,,,
Lat Krabang,Thailand,Asia,,IPI,VIPA GREECE,,,
Le Havre,France,Asia,,Swamigutta,VIPA INDIA,,,
Leipzig,Germany,Europe,,TSK Timsan,Global Trading,,,
Leixoes,Portugal,Europe,,TsVR,Global Trading,,,
Leixoes,Portugal,Europe,,MIR,Global Trading,,,
Lenzing,Austria,Europe,,EcoLab,Global Trading,,,
Lermontov,Russia,Europe,,Volga-Resurs,Global Trading,,,
Limasol,Cyprus,Russia,,Makulaturnaya Kompaniya,Global Trading,,,
